Source,Date,sentence1,Category,label
Prothom Alo,2012-04-02 00:00:00,কাল মমিনুল দু'ম্যাচ খারাপ খেললে এই মাদারচোদ সাংবাদিকরা ওর চৌদ্দগুষ্ঠি উদ্ধার করবে!,batting,negative
Prothom Alo,2018-10-02 00:00:00,মাহমুদুল্লাহ কি নির্বাচক??? যুক্তি দিবে প্রধান নির্বাচক।,team management,negative
Prothom Alo,2018-02-08 00:00:00,কি ফালতু বলছেন? কৃকেট একজনের খেলা না। পুরো টিমটাকে পারফ্ম করতে হবে।,other,negative
Prothom Alo,2018-07-02 00:00:00,নিশ্চয় শ্রীলংকান রা পিছিয়ে থাকবে না।এটা তাদের সফলতম মাঠ,team,negative
Prothom Alo,2018-07-02 00:00:00,"আজকে কেপটাউনে হাইস্কোর হল, আমাদের টারগেট এখন T20 তে নাম্বার ওয়ান হাসিল ক",team,neutral
Prothom Alo,2018-11-02 00:00:00, বাংলাদেশ দলে পারফরম্যান্স এর কোনো দাম নেই ।,team management,negative
Prothom Alo,2018-02-08 00:00:00,"চাপ নিয়ে জেতার জন্য যে টেম্পারামেন্ট লাগে, আমাদের খেলোয়ারদের মধ্যে সেটার ছিটেফোঁটাও আছে বলে মনে হয়না!",team,negative
Prothom Alo,2018-09-01 00:00:00,যেভাবে ফুটবল খেলা তা হারিয়ে গেলো আমাদের মন থেকে. ক্রিকেট এর ও একই অবস্থা হবে কোনো একসময়.হয়তো সেই দিনটি খুব দূরে নয়,other,negative
Prothom Alo,2018-11-02 00:00:00,বিশ্ব ক্রিকেটে বাংলাদেশের মত অদক্ষ নির্বাচক মনে হয় আর কোথাও নাই। ওদের দ্রুত বাদ দিতে হবে।,team,negative
BBC Bangla,2018-08-02 00:00:00,অবহেলার জবাব এর থেকে আর কি হতে পারে!!,bowling,neutral
Prothom Alo,2018-02-08 00:00:00,"তারা তো কন্ডিশন,,, আবহাওয়া, চক্কর - বক্কর কইরা সময় নষ্ট করতেছে না",other,positive
Prothom Alo,2018-02-08 00:00:00,এদের খেলা দেখতেও এখন লজ্জা লাগে নিজের কাছে,team,negative
Prothom Alo,23/1/2018,"খারাপ দিন আসতেই পারে,, হারি জিতি টাইকারদের সাথেই আছি",team,positive
Prothom Alo,2018-02-08 00:00:00,শ্রীলংকান ব্যাটসম্যান রোশন সিলভা,batting,positive
Prothom Alo,2018-09-02 00:00:00,এই ম্যাচ বাংলাদেশ জিতলে সানিলিওন ভার্জিনিটি ফিরে পাবে।,other,negative
BBC Bangla,2018-11-01 00:00:00,যারা জিম্বাবুয়া সাপোর্টার তারা মনে হয় ভারতের জঙ্গিগুষ্টির ফসল কারণ নিজের দেশ যদি না পারে তবু বাংলাদেশ,team,negative
Prothom Alo,2018-10-02 00:00:00,ভালবাসার আর এক নাম ক্রিকেট।।।,team,negative
Prothom Alo,2018-02-08 00:00:00,"খেলোয়ারদের দ্বায়িত্ব জ্ঞান হীনতা এর আসল কারণ, ",other,negative
Prothom Alo,2018-04-02 00:00:00, লিটন ন্যাচারাল ট্যালেন্ট ; তার সলিড টেকনিক দেখেই বোঝা যায়। ,batting,positive
BBC Bangla,16/1/2018,বলের গতিকে দেখছে রানের গতিকে নয়,bowling,negative
Prothom Alo,2018-10-02 00:00:00,কোন হিসাবে ছব্বিরকে নেওয়া হয় টেষ্টে?,team management,negative
Prothom Alo,2018-05-02 00:00:00, ভারত আর আফ্রিকার খবর কই।,team,neutral
Prothom Alo,2018-10-02 00:00:00,বালের খ্যালা খ্যালছে,other,negative
BBC Bangla,2018-08-02 00:00:00,বস ফিরেছে বসের মতো,other,positive
